"country","2020-01","2020-02","2020-03","2020-04","2020-05","2020-06","2020-07","2020-08","2020-09","2020-10","2020-11","2020-12","2021-01","2021-02","2021-03","2021-04","2021-05","2021-06","2021-07","2021-08","2021-09","2021-10","2021-11","2021-12","2022-01","2022-02","2022-03","2022-04","2022-05","2022-06","2022-07","2022-08","2022-09","2022-10","2022-11","2022-12","2023-01","2023-02","2023-03"
"Togo",0,0,34,116,442,650,941,1400,1784,2331,2974,3633,5074,6901,10249,12967,13466,13917,15798,21261,25429,26079,26265,30163,36491,36798,36939,36985,37095,37403,38084,38491,39053,39299,39328,39343,39354,39377,39396
"Tonga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,355,6423,10196,11644,12301,12554,15235,16182,16182,16182,16211,16734,16801,16810
"Trinidad and Tobago",0,0,87,116,117,130,169,1759,4531,5692,6669,7150,7564,7713,8026,10824,23909,32793,38811,44847,50709,57329,71361,91899,111549,127767,137860,147867,161584,167097,171510,179146,183181,184713,185377,186033,187908,189296,189918
"Tunisia",0,0,394,994,1077,1174,1535,3803,18413,59813,96769,139140,208885,233277,254018,309119,345474,420103,589565,664034,707190,712747,717572,726706,909813,998230,1035884,1040193,1042935,1052180,1128693,1143862,1145686,1146152,1147072,1147571,1150356,1150962,1151126
"Tuvalu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,20,20,23,2828,2805,2805,2805,2805
"Uganda",0,0,44,83,417,889,1154,2972,8129,12495,20459,35216,39579,40357,40867,41866,47147,79977,93927,119915,123572,126171,127550,140737,161839,163307,163905,164084,164366,167719,169230,169396,169396,169473,169733,169985,170400,170504,170544
"Ukraine",0,0,645,10406,23672,45254,71404,124132,214446,399330,752343,1086997,1261546,1395528,1725029,2124070,2260899,2300101,2333409,2384564,2533301,3058108,3606622,3847226,4255206,5066370,5197694,5233265,5244223,5287020,5294643,5329263,5478025,5601102,5642645,5662732,5679371,5693846,5711929
"United Arab Emirates",4,21,664,12481,34557,48667,60506,70231,94190,132629,168860,207822,303609,391524,461444,520236,570836,632907,680858,718370,735992,739905,742041,761937,845058,879973,891300,898571,908205,945800,991564,1015398,1027502,1037636,1044343,1047008,1049409,1051998,1053213
"United States",8,25,192079,1081150,1791547,2648797,4548497,6046489,7246200,9176352,13667915,20219878,26357107,28764298,30579485,32468055,33386447,33782325,35107404,39395088,43539596,46053361,48606339,54907717,75244152,79181996,80221585,81466441,84327544,87675415,91345425,94528255,96361580,97491766,98813321,100765333,102362870,103443455,103802702
"Uruguay",0,0,338,643,823,936,1264,1595,2046,3124,5857,19119,41738,57994,105549,198428,294503,369350,381517,384934,388928,393899,399695,413383,668425,842462,887935,897867,925777,957629,969803,979160,985422,990560,993875,1011988,1032710,1034303,1034303
"Uzbekistan",0,0,172,2039,3623,8503,24009,41893,56717,66932,73094,77060,78711,79926,82869,90808,100335,110677,129327,156394,173895,185963,193208,198903,223008,236405,237749,238596,239028,240764,243093,243801,244218,244648,246520,249217,250567,250932,251247
"Vanuatu",0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,4,4,4,4,4,4,6,6,7,7,18,3379,7330,9088,11266,11730,11815,11950,11981,11981,12013,12014,12014,12014
"Yemen",0,0,0,6,323,1158,1728,1958,2034,2063,2077,2099,2121,2285,4357,6317,6742,6920,7061,7869,9067,9791,10004,10126,11019,11771,11806,11818,11822,11824,11877,11926,11935,11939,11945,11945,11945,11945,11945
"Zambia",0,0,35,106,1057,1594,5963,12097,14759,16432,17647,20725,54217,78534,88418,91586,95263,154948,195816,206327,209046,209734,210169,254274,305047,312750,316850,319594,321779,325857,329483,332822,333531,333681,333746,334425,340763,343012,343135
"Zimbabwe",0,0,8,40,178,591,3169,6497,7838,8367,9950,13867,33388,36089,36882,38257,38961,49864,108860,124773,130820,132977,134625,213258,229666,236380,246286,247875,252398,255586,256378,256726,257465,257893,259164,259981,261606,263921,264276
